feature_A,feature_B,correlation
EIF2AK2,PRKCD,0.976190476190476
MAP3K5,VRK1,-0.976190476190476
MAP3K5,CDK7,-0.976190476190476
KSR1,EGFR,0.976190476190476
LATS2,STK38,0.976190476190476
PRKAA1,PRKAG2,0.976190476190476
PRKAG3,PRKAA1,0.976190476190476
PRKAG1,PRKAA1,0.976190476190476
PRKAB2,PRKAA1,0.976190476190476
RPS6KA3,RPS6KB1,0.976190476190476
HRAS,RPS6KB1,0.976190476190476
AGT,RPS6KB1,0.976190476190476
AGT,SYK,0.976190476190476
GABA,PRKCI,-0.976190476190476
INS,AKT2,0.976190476190476
RXRG,PRKCE,0.976190476190476
MEF2C,PTK2B,-0.976190476190476
RBPJ,PTK2B,-0.976190476190476
SPI1,PTK2B,-0.976190476190476
TAL1,PTK2B,-0.976190476190476
ZEB2,PTK2B,-1
TEAD4,PTK2B,-0.976190476190476
CDC7,UHMK1,0.976190476190476
MAPK8,UHMK1,0.976190476190476
octanoylcarnitine,CDK1,-0.976190476190476
ESRRA,MAPK8,-0.976190476190476
ZHX2,MKNK2,0.976190476190476
SSRP1,MKNK2,-0.976190476190476
GMP,PIM3,-0.976190476190476
MAP3K1,MAP3K5,0.976190476190476
PRKG2,CSNK2A2,-0.976190476190476
WEE1,CSNK2A2,0.976190476190476
F2,SIK1,0.976190476190476
INS,RET,0.976190476190476
DUSP8,RET,0.976190476190476
FOXP1,LIMK2,0.976190476190476
GATA2,LIMK2,0.976190476190476
ZNF644,LIMK2,0.976190476190476
PTPN2,JAK2,0.976190476190476
ATF1,PAK1,-0.976190476190476
ARNTL,PAK1,-0.976190476190476
BRAF,MAP2K2,0.976190476190476
NEUROD1,ATR,-0.976190476190476
KIV,ROCK2,-0.976190476190476
DUSP3,MAP3K14,0.976190476190476
PTPN7,MAP3K14,0.976190476190476
PIK3C3,WNK1,-0.976190476190476
PRKY,PRKX,0.976190476190476
GSH,CAMK2G,-0.976190476190476
ADP,CAMK2G,-0.976190476190476
KLF3,SRPK1,-0.976190476190476
CDKN1A,WEE1,0.976190476190476
hypoxanthine,AKT3,0.976190476190476
CDKN1A,MAP3K1,-0.976190476190476
DUSP16,DUSP3,0.976190476190476
DUSP16,PTPN7,0.976190476190476
NR1H2,AGT,0.976190476190476
IL2,INS,0.976190476190476
TFAP2A,FGF2,0.976190476190476
JUN1,HGF,0.976190476190476
ETS2,HGF,0.976190476190476
FOSL1,HGF,0.976190476190476
glutamine,RHOA,-0.976190476190476
DUSP8,IL2,0.976190476190476
DUSP8,IGF1,0.976190476190476
glutamine,ANGPT1,-0.976190476190476
palmitoleic acid,DIPK2A,-0.976190476190476
RARG,GCG,-0.976190476190476
ZNF384,AVP,0.976190476190476
ZNF740,AVP,0.976190476190476
FOXL2,CREB1,0.976190476190476
MAFB,RARB,0.976190476190476
CLOCK,JUN1,0.976190476190476
FOXP1,TEAD1,0.976190476190476
GATA2,TEAD1,0.976190476190476
HHEX,TEAD1,0.976190476190476
AHR,TEAD1,0.976190476190476
TCF4,PBX3,0.976190476190476
NANOG,PBX3,0.976190476190476
MAX,PPARG,0.976190476190476
GATA1,PAX6,0.976190476190476
HINFP,PAX6,0.976190476190476
EHF,PAX6,-0.976190476190476
POU5F1,SMAD2,0.976190476190476
EGR1,VDR,0.976190476190476
BACH2,VDR,0.976190476190476
IRF9,VDR,0.976190476190476
BCL3,RFX5,0.976190476190476
HOXA9,ETS1,0.976190476190476
FOXP1,ARNT,0.976190476190476
GATA2,ARNT,0.976190476190476
TCF4,ARNT,0.976190476190476
ZNF644,ARNT,0.976190476190476
PBX2,CTCF,0.976190476190476
USF1,HOXA9,0.976190476190476
TFAP4,HOXA9,0.976190476190476
AHR,CEBPA,0.976190476190476
CLOCK,CEBPA,0.976190476190476
E2F6,TFAP2C,0.976190476190476
PRDM14,TFAP2C,0.976190476190476
TWIST1,TFAP2C,0.976190476190476
EBF1,MEF2C,0.976190476190476
LYL1,MEF2C,0.976190476190476
ZEB2,MEF2C,0.976190476190476
adenine,ZNF639,0.976190476190476
MAFG,TFAP2A,0.976190476190476
FOXP1,GATA3,0.976190476190476
GATA2,GATA3,0.976190476190476
HHEX,GATA3,0.976190476190476
AHR,GATA3,0.976190476190476
RELA,NFKB1,0.976190476190476
POU2F2,STAT1,0.976190476190476
BATF,STAT1,0.976190476190476
KLF6,STAT1,0.976190476190476
FLI1,EBF1,0.976190476190476
MEIS1,EBF1,0.976190476190476
ETV1,EBF1,0.976190476190476
ID3,EBF1,0.976190476190476
HNF1A,RBPJ,-0.976190476190476
LYL1,RBPJ,0.976190476190476
ZEB2,RBPJ,0.976190476190476
POU5F1,TCF12,0.976190476190476
AHR,TCF7L2,0.976190476190476
CLOCK,TCF7L2,0.976190476190476
PGR,FOXP1,0.976190476190476
NFIC,FOXP1,0.976190476190476
POU5F1,FOXP1,0.976190476190476
FOXP2,MITF,0.976190476190476
HBP1,ONECUT1,0.976190476190476
AHR,MAFF,0.976190476190476
CLOCK,MAFF,0.976190476190476
PGR,GATA2,0.976190476190476
NFIC,GATA2,0.976190476190476
POU5F1,GATA2,0.976190476190476
MAFB,NR3C1,0.976190476190476
NR4A1,NR2F2,0.976190476190476
NR2F1,NR2F2,0.976190476190476
ZNF263,PBX2,0.976190476190476
BCL6,PBX2,0.976190476190476
GFI1B,PBX2,0.976190476190476
CUX1,PBX2,0.976190476190476
HMBOX1,SOX10,0.976190476190476
NFIC,SOX6,0.976190476190476
POU5F1,SOX6,0.976190476190476
PRDM14,SOX6,0.976190476190476
SP3,EGR1,0.976190476190476
GATA1,SRF,0.976190476190476
POU2F2,SRF,0.976190476190476
BATF,SRF,0.976190476190476
HINFP,SRF,0.976190476190476
LYL1,SRF,0.976190476190476
EHF,SRF,-0.976190476190476
FOSL1,TP53,0.976190476190476
CLOCK,ETS2,0.976190476190476
NFKB2,RELB,0.976190476190476
SMAD4,FOXO1,0.976190476190476
SOX2,FOXO1,0.976190476190476
AHR,FOXO1,0.976190476190476
SNAI1,CEBPB,0.976190476190476
ZEB2,SPI1,0.976190476190476
NR2F1,MYOD1,0.976190476190476
USF1,ZNF263,0.976190476190476
NCOR2,ZNF263,0.976190476190476
FLI1,HNF1A,-0.976190476190476
CTCFL,HNF1A,-0.976190476190476
FLI1,PDX1,0.976190476190476
HHEX,PGR,0.976190476190476
AHR,PGR,0.976190476190476
ZHX1,NR5A2,0.976190476190476
GFI1B,USF1,0.976190476190476
BCL6,NR4A1,0.976190476190476
PRDM14,NR4A1,0.976190476190476
KLF9,NR4A1,0.976190476190476
SSRP1,NR4A1,-0.976190476190476
FOSL1,PRDM1,0.976190476190476
ZEB2,TAL1,0.976190476190476
CREB3,BCL3,0.976190476190476
RUNX1,GATA1,0.976190476190476
NFATC1,GATA1,0.976190476190476
TP73,GATA1,0.976190476190476
POU2F2,RUNX1,0.976190476190476
BATF,RUNX1,0.976190476190476
HINFP,RUNX1,0.976190476190476
LYL1,RUNX1,0.976190476190476
EHF,RUNX1,-0.976190476190476
SOX2,NFIC,0.976190476190476
AHR,NFIC,0.976190476190476
NFATC1,POU2F2,0.976190476190476
BATF,NFATC1,0.976190476190476
HINFP,NFATC1,0.976190476190476
LYL1,NFATC1,0.976190476190476
EHF,NFATC1,-0.976190476190476
HINFP,TP73,0.976190476190476
EHF,TP73,-0.976190476190476
ETV1,HHEX,0.976190476190476
ID3,HHEX,0.976190476190476
TFAP4,BACH2,0.976190476190476
ETV4,SNAI1,0.976190476190476
MAFK,SOX11,0.976190476190476
STAT3,JUNB,0.976190476190476
RCOR1,JUNB,0.976190476190476
ARID2,XBP1,0.976190476190476
ASCL1,STAT3,0.976190476190476
LYL1,FLI1,0.976190476190476
HNF4G,SMARCC2,0.976190476190476
POU5F1,HMBOX1,0.976190476190476
TEAD4,ZEB2,0.976190476190476
RFXANK,STAT5A,0.976190476190476
RFXAP,STAT5A,0.976190476190476
MAF,STAT5A,0.976190476190476
TAF1,ZNF384,0.976190476190476
ARID3A,RFXANK,0.976190476190476
ARID3A,RFXAP,0.976190476190476
MTA3,POU5F1,0.976190476190476
GATAD1,HNF4G,0.976190476190476
ZKSCAN1,FOXK2,0.976190476190476
N-acetylaspartate,SNAI2,-0.976190476190476
STAT5B,RUNX2,0.976190476190476
ZNF217,RUNX2,0.976190476190476
HNF1B,KLF5,0.976190476190476
NR2F1,KLF9,0.976190476190476
FOXJ2,HBP1,0.976190476190476
SPIB,BCL11A,0.976190476190476
RFX2,BCL11A,-0.976190476190476
NR2F1,NFE2,0.976190476190476
TWIST1,PKNOX1,0.976190476190476
MAZ,SNAPC4,0.976190476190476
MTA1,SNAPC4,0.976190476190476
TFAP4,STAT5B,0.976190476190476
EHF,STAT5B,-0.976190476190476
RFX2,SPIB,-1
NR2F1,TWIST1,0.976190476190476
MXI1,BHLHE40,0.976190476190476
KMT2A,ARID2,0.976190476190476
adenine,ARID2,0.976190476190476
CUX1,NCOR2,0.976190476190476
ZNF217,TFAP4,0.976190476190476
ZNF217,EHF,-0.976190476190476
ARID3A,MAF,0.976190476190476
SOX13,POU4F2,0.976190476190476
TEAD2,CTCFL,0.976190476190476
ZNF274,FOXK1,0.976190476190476
oleic_acid,linoleic acid,0.976190476190476
oleic_acid,myristic_acid,0.976190476190476
succinate,myristic_acid,-0.976190476190476
stearic acid,palmitic_acid,0.976190476190476
palmitoylcarnitine,oleylcarnitine,0.976190476190476
carnitine,methionine,-0.976190476190476
tyrosine,methionine,0.976190476190476
threonine,acetylcholine,-1
lysine,serine,0.976190476190476
creatinine,CDK12,0.928571428571429
hypoxanthine,AKT1,0.928571428571429
glycine,PRKCB,-0.952380952380953
GABA,PRKCI,-0.976190476190476
guanosine,CDKL5,0.952380952380953
carnitine,PRKCQ,0.928571428571429
tyrosine,PRKCQ,-0.952380952380953
oleylcarnitine,FGR,0.928571428571429
gluconate,RPS6KA4,0.952380952380953
taurine,RPS6KB2,-0.928571428571429
octanoylcarnitine,CDK1,-0.976190476190476
NAD,MTOR,0.952380952380953
GMP,PIM3,-0.976190476190476
ethanolamine,IKBKE,-0.952380952380953
ethanolamine,CHUK,-0.928571428571429
fructose 6-phosphate,RET,0.928571428571429
cytidine,CSK,-0.952380952380953
malate,GRK2,-0.928571428571429
fumarate,GRK2,-0.928571428571429
glycerol,ATR,-0.928571428571429
ornithine,LIMK1,-0.928571428571429
lysine,LIMK1,-0.928571428571429
KIV,ROCK2,-0.976190476190476
S-(2-Succinyl)cysteine,ROCK2,0.952380952380953
glycine,WNK1,-0.928571428571429
glutamine,SGK3,-0.928571428571429
glycerylphosphorylcholine,MAPK13,0.928571428571429
GSH,CAMK2G,-0.976190476190476
ADP,CAMK2G,-0.976190476190476
taurine,WEE1,0.928571428571429
acetylcarnitine,MAPK10,-0.928571428571429
hypoxanthine,AKT3,0.976190476190476
S-Adenosyl-Methionine,AKT1S1,-0.952380952380953
GSSG,MLST8,0.952380952380953
glutamine,SGK2,-0.928571428571429
asparagine,PPM1D,-0.928571428571429
methionine,PTPN2,-0.952380952380953
tryptophan,PTPN2,-0.952380952380953
carnitine,PTPN2,0.928571428571429
alanine,CDK17,-0.952380952380953
fructose 6-phosphate,DYRK4,-0.928571428571429
uric acid,DYRK4,0.952380952380953
gluconate,RSKR,0.928571428571429
gluconate,RPS6KA6,0.928571428571429
fructose 6-phosphate,INS,0.952380952380953
glutamine,RHOA,-0.976190476190476
fructose 6-phosphate,IL2,0.928571428571429
cytidine,FN1,0.952380952380953
glutamine,ANGPT1,-0.976190476190476
methionine,PRRT2,-0.928571428571429
carnitine,PRRT2,0.952380952380953
tyrosine,PRRT2,-0.952380952380953
asparagine,PRRT2,-0.952380952380953
palmitoleic acid,DIPK2A,-0.976190476190476
3-hydroxybutyrate,DIPK2A,-0.928571428571429
glutamine,DUSP16,-0.928571428571429
S-Adenosyl-Homocysteine,MAPT,-0.952380952380953
